Iteración,Aptitud,Código
0,69.0,"[0, 1, 3, 3]"
1,69.0,"[0, 1, 3, 3]"
2,69.0,"[0, 1, 3, 3]"
3,69.0,"[0, 1, 3, 3]"
4,69.0,"[0, 1, 3, 3]"
5,69.0,"[0, 1, 3, 3]"
6,69.0,"[0, 1, 3, 3]"
7,69.0,"[0, 1, 3, 3]"
8,69.0,"[0, 1, 3, 3]"
9,69.0,"[0, 1, 3, 3]"
10,69.0,"[0, 1, 3, 3]"
11,69.0,"[0, 1, 3, 3]"
12,69.0,"[0, 1, 3, 3]"
13,69.0,"[0, 1, 3, 3]"
14,69.0,"[0, 1, 3, 3]"
15,70.0,"[1, 1, 2, 1]"
16,70.0,"[1, 1, 2, 1]"
17,70.0,"[1, 1, 2, 1]"
18,70.0,"[1, 1, 2, 1]"
19,70.0,"[1, 1, 2, 1]"
20,70.0,"[1, 1, 2, 1]"
21,70.0,"[1, 1, 2, 1]"
22,70.0,"[1, 1, 2, 1]"
23,70.0,"[1, 1, 2, 1]"
24,70.0,"[1, 1, 2, 1]"
25,70.0,"[1, 1, 2, 1]"
26,70.0,"[1, 1, 2, 1]"
27,70.0,"[1, 1, 2, 1]"
28,74.0,"[1, 1, 4, 1]"
29,74.0,"[1, 1, 4, 1]"
